# case_index: 9
# name_ru:    Родительный мн.ч. (Kilmininkas Dgs.)
# question:   Кого? Чего? (мн.ч.)
# usage:      Множественное число родительного. Часто окончание -ų для большинства существительных.
# endings_sg: —
# endings_pl: -ų
# transform:  Большинство существительных: любое окончание ед.ч. → -ų (namų, brolių, knygų, gatvių). Исключения редки.

# display | answer_ending | full_word | russian
Čia nėra brol___. | ių | brolių | Здесь нет братьев.
Rasa neturi knyg___. | ų | knygų | У Расы нет книг.
Aš turiu daug draug___. | ų | draugų | У меня много друзей.
Čia nėra obuol___. | ių | obuolių | Здесь нет яблок.
Jonas neturi draug___. | ų | draugų | У Йонаса нет друзей.
Aš turiu daug knyg___. | ų | knygų | У меня много книг.
Čia nėra muziej___. | ų | muziejų | Здесь нет музеев.
Čia nėra agurk___. | ų | agurků | Здесь нет огурцов.
Aš turiu daug pirkin___. | ių | pirkinių | У меня много покупок.
Čia nėra brašk___. | ių | braškių | Здесь нет клубники.
Čia nėra tort___. | ų | tortų | Здесь нет тортов.
Aš turiu daug obuol___. | ių | obuolių | У меня много яблок.
Čia nėra profesor___. | ių | profesorių | Здесь нет профессоров.
Rasa neturi draug___. | ių | draugių | У Расы нет подруг.
Aš turiu daug sveč___. | ių | svečių | У меня много гостей.
Čia nėra nam___. | ų | namų | Здесь нет домов.
Jonas neturi brol___. | ių | brolių | У Йонаса нет братьев.
Aš turiu daug mork___. | ų | morkų | У меня много моркови.
Čia nėra sod___. | ų | sodų | Здесь нет садов.
Rasa neturi tort___. | ų | tortų | У Расы нет тортов.
